transaction_id,user_id,transaction_amount,transaction_type,timestamp,sender_balance_before,sender_balance_after,receiver_id,is_new_receiver,device_id,is_new_device,latitude,longitude,distance_from_usual_location,ip_address,is_new_ip,transactions_last_1_hour,transactions_last_24_hours,average_transaction_amount,amount_deviation_ratio,failed_transaction_count,qr_transaction,merchant_id,merchant_category,merchant_risk_score,account_age_days,fraud_scenario,is_fraud
TXNF13DABBD,USER9812,3192.06,P2M,2026-06-13 11:20:42.419465,82243.04,79050.98,USER7283,0,DEV5464,0,18.545095,73.836226,3.25,246.127.137.94,0,3,1,2128.32,1.5,1,0,MER7293,Travel,0.19,1049,LEGITIMATE,0
TXN838D8DEB,USER1752,6117.73,P2M,2026-08-06 21:31:42.402505,82699.47,76581.74,USER8476,0,DEV5993,0,18.444549,73.760661,16.06,86.18.175.130,0,1,18,1005.6,6.08,0,0,MER4965,Restaurant,0.23,1425,LEGITIMATE,0
TXN6B5175BD,USER5300,7534.07,P2M,2026-08-06 16:01:42.382989,15523.8,7989.73,USER1110,0,DEV5324,0,18.588336,73.725411,4.88,189.167.106.246,1,2,12,4004.71,1.88,0,0,MER9820,Fuel,0.24,1712,LEGITIMATE,0
TXN7A5648B1,USER9995,7433.89,QR,2026-05-31 14:36:42.434044,32819.52,25385.63,USER1996,0,DEV3140,1,18.516,73.764316,1.56,196.184.151.72,0,1,7,1194.5,6.22,1,1,MER5122,Utilities,0.23,927,LEGITIMATE,0
TXN498A60BB,USER6175,2285.67,P2M,2026-07-06 22:59:42.388510,81057.49,78771.82,USER2124,0,DEV2417,0,18.460241,73.746872,11.23,131.219.45.177,0,1,17,1422.67,1.61,0,0,MER3468,Shopping,0.11,1471,LEGITIMATE,0
TXNFAEA4C03,USER9436,4380.57,P2M,2026-06-02 06:11:42.431330,51626.89,47246.32,USER9193,0,DEV9101,1,18.550217,73.907051,19.84,46.193.217.242,0,4,6,1835.59,2.39,1,0,MER5437,Shopping,0.03,917,LEGITIMATE,0
TXN4A34D5C8,USER3155,6010.36,P2M,2026-07-05 20:28:42.432115,52302.89,46292.53,USER3337,0,DEV9988,0,18.420891,73.784024,6.13,67.38.200.255,0,4,3,1519.38,3.96,1,0,MER2188,Travel,0.01,1739,LEGITIMATE,0
TXN4CE38764,USER2378,4869.96,QR,2026-08-01 00:45:42.394079,51435.23,46565.27,USER2717,0,DEV7497,1,18.467451,73.802884,2.47,97.117.158.166,1,3,12,2655.36,1.83,0,1,MER8118,Restaurant,0.09,1196,LEGITIMATE,0
TXN471720B1,USER9442,7609.33,QR,2026-07-16 20:21:42.420573,96583.83,88974.5,USER9229,1,DEV7663,0,18.609489,73.74149,18.98,18.139.204.88,0,1,3,550.58,13.82,1,1,MER5383,Entertainment,0.17,317,LEGITIMATE,0
TXNA4CCF82F,USER8849,5902.59,P2P,2026-06-20 13:54:42.425723,85008.24,79105.65,USER8018,0,DEV1510,0,18.647023,73.801597,12.88,164.47.63.67,0,4,10,1434.45,4.11,0,0,MER9620,Restaurant,0.2,1449,LEGITIMATE,0
TXN3C3784C6,USER5687,240.08,QR,2026-07-16 15:11:42.388931,94243.49,94003.41,USER9010,0,DEV3263,0,18.519524,73.796954,15.86,71.156.154.83,0,3,18,4852.56,0.05,0,1,MER6238,Travel,0.13,1821,LEGITIMATE,0
TXNE96488AB,USER4868,2463.23,P2M,2026-07-04 19:11:42.386295,33366.68,30903.45,USER8747,0,DEV6005,0,18.529027,73.990852,7.09,186.14.9.248,0,0,12,4583.59,0.54,0,0,MER2406,Grocery,0.07,745,LEGITIMATE,0
TXN4EEAB552,USER1126,8184.95,P2P,2026-07-21 14:51:42.416323,74903.57,66718.62,USER2431,0,DEV6893,0,18.416578,73.823587,8.71,66.150.249.213,0,1,14,4473.36,1.83,0,0,MER9636,Fuel,0.15,756,LEGITIMATE,0
